,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
140,2008-12-06T00:00:00,1.0,-29.8934,-71.2731,6,12,2008
504,2007-12-08T00:00:00,,-33.2985,-58.6401,8,12,2007
790,2006-03-18T00:00:00,2.0,-17.1157,-68.78,18,3,2006
805,2008-09-30T00:00:00,6.0,-33.8368,-53.9154,30,9,2008
1103,2008-02-21T00:00:00,2.0,-29.0111,-56.1734,21,2,2008
1294,2007-09-14T00:00:00,65.0,-25.2667,-57.6167,14,9,2007
1423,2008-09-23T00:00:00,2.0,-1.7438099999999999,-78.7562,23,9,2008
1458,2008-12-10T00:00:00,2.0,-23.0965,-70.4282,10,12,2008
1559,2007-11-07T00:00:00,1.0,-22.4075,-66.0055,7,11,2007
1600,2009-01-02T00:00:00,,-34.6183,-54.2921,2,1,2009
1971,2008-01-13T00:00:00,,-34.6623,-54.1484,13,1,2008
3082,2005-01-04T00:00:00,2.0,-25.2667,-57.6167,4,1,2005
3443,2008-12-31T00:00:00,1.0,-29.8934,-71.2731,31,12,2008
3607,2007-02-10T00:00:00,,-37.7444,-57.427,10,2,2007
3791,2009-09-20T00:00:00,40.0,-25.2667,-57.6167,20,9,2009
3814,2007-12-08T00:00:00,,-33.4985,-58.7884,8,12,2007
4316,2004-09-10T00:00:00,,-34.6183,-54.2921,10,9,2004
4665,2008-02-01T00:00:00,218.0,-22.6486,-65.6926,1,2,2008
4763,2007-07-05T00:00:00,,-21.771,-65.1015,5,7,2007
5398,2001-01-16T00:00:00,2.0,-17.1438,-71.8739,16,1,2001
5861,2008-09-26T00:00:00,,-30.6203,-59.9076,26,9,2008
5948,2006-02-04T00:00:00,57.0,-15.2167,-69.0667,4,2,2006
6457,2007-04-22T00:00:00,2.0,-33.8038,-71.712,22,4,2007
6646,2009-01-16T00:00:00,4.0,-29.8934,-71.2727,16,1,2009
6676,2000-03-15T00:00:00,,-36.3848,-56.7066,15,3,2000
6720,2005-07-03T00:00:00,,-34.6082,-58.354,3,7,2005
6944,2006-01-20T00:00:00,,-18.0936,-67.1045,20,1,2006
7000,2000-11-18T00:00:00,,-36.2941,-56.7756,18,11,2000
7114,2009-02-10T00:00:00,,-35.4576,-58.8151,10,2,2009
7404,2008-03-15T00:00:00,1.0,-2.27972,-80.9165,15,3,2008
8441,2004-02-08T00:00:00,2.0,-18.4165,-70.3224,8,2,2004
8682,2003-12-06T00:00:00,,-31.1138,-50.8566,6,12,2003
8821,2004-10-14T00:00:00,1.0,-11.3959,-69.535,14,10,2004
9238,2000-09-12T00:00:00,1.0,-25.2667,-57.6167,12,9,2000
9568,2007-01-29T00:00:00,1.0,-2.22507,-80.9608,29,1,2007
9796,2000-11-17T00:00:00,1.0,-18.4165,-70.3224,17,11,2000
10697,2000-09-30T00:00:00,,-22.6,-57.43,30,9,2000
10773,2003-07-31T00:00:00,15.0,-4.40479,-59.5823,31,7,2003
11104,2007-01-06T00:00:00,,-33.2978,-58.7111,6,1,2007
11285,2003-05-09T00:00:00,,-37.7444,-57.427,9,5,2003
11357,2003-12-27T00:00:00,,-36.2968,-56.7737,27,12,2003
11754,2007-10-27T00:00:00,50.0,-36.2941,-56.7756,27,10,2007
12039,2005-02-27T00:00:00,92.0,-18.0936,-67.1045,27,2,2005
12072,2009-10-01T00:00:00,12.0,-25.2667,-57.6167,1,10,2009
12204,2006-05-21T00:00:00,,-34.3364,-53.794,21,5,2006
12325,2004-11-13T00:00:00,,-30.9178,-62.6784,13,11,2004
12732,2005-02-03T00:00:00,,-34.3364,-53.794,3,2,2005
13051,2009-02-19T00:00:00,,-1.67632,-80.8136,19,2,2009
13087,2009-10-18T00:00:00,20.0,-25.2667,-57.6167,18,10,2009
13189,2004-10-06T00:00:00,100.0,-36.2941,-56.7756,6,10,2004
13231,2001-02-24T00:00:00,,-22.545,-59.3111,24,2,2001
13610,2009-02-24T00:00:00,,-34.6643,-54.1732,24,2,2009
13721,2009-03-01T00:00:00,1.0,-18.4165,-70.3224,1,3,2009
13947,2006-09-28T00:00:00,2.0,-25.2667,-57.6167,28,9,2006
14049,2009-10-05T00:00:00,17.0,-25.2712,-57.6298,5,10,2009
14114,2008-11-07T00:00:00,,-8.49421,-60.9622,7,11,2008
14193,2009-09-04T00:00:00,91.0,-25.2667,-57.6167,4,9,2009
14224,2008-10-26T00:00:00,1.0,-23.3452,-63.6846,26,10,2008
14530,2001-12-21T00:00:00,2.0,-18.4165,-70.3224,21,12,2001
14717,2005-02-06T00:00:00,200.0,-36.2941,-56.7756,6,2,2005
15046,2006-01-28T00:00:00,1.0,-18.0408,20.8624,28,1,2006
15659,2009-09-12T00:00:00,64.0,-25.2667,-57.6167,12,9,2009
15999,2007-01-26T00:00:00,,-34.3532,-53.8638,26,1,2007
16180,2000-09-08T00:00:00,1.0,-17.2683,-56.8934,8,9,2000
16222,2003-02-14T00:00:00,15.0,-18.477,-70.3207,14,2,2003
16407,2007-10-27T00:00:00,100.0,-36.3848,-56.7066,27,10,2007
16650,2008-12-06T00:00:00,1.0,-24.5521,-65.3738,6,12,2008
17145,2002-11-22T00:00:00,,-18.4165,-70.3224,22,11,2002
17409,2009-09-24T00:00:00,10.0,-35.916,-57.4178,24,9,2009
17821,2006-11-13T00:00:00,10.0,-36.2941,-56.7756,13,11,2006
18191,2003-09-13T00:00:00,,-20.9967,-58.725,13,9,2003
18252,2007-03-15T00:00:00,,-34.9664,-54.9485,15,3,2007
19310,2000-11-16T00:00:00,13.0,-25.2667,-57.6167,16,11,2000
19326,2002-01-22T00:00:00,,-34.3364,-53.794,22,1,2002
19600,2005-11-23T00:00:00,1.0,-9.05418,-56.5863,23,11,2005
19726,2006-09-09T00:00:00,27.0,-10.1871,-56.3782,9,9,2006
20669,2009-12-19T00:00:00,1.0,-33.5304,-71.6023,19,12,2009
20739,2004-11-14T00:00:00,3.0,-18.4165,-70.3224,14,11,2004
20905,2004-11-12T00:00:00,2.0,-13.618,-71.7304,12,11,2004
21535,2000-12-05T00:00:00,12.0,-25.2667,-57.6167,5,12,2000
22087,2003-11-07T00:00:00,,-37.7444,-57.427,7,11,2003
22102,2008-10-18T00:00:00,,-24.9836,-57.0877,18,10,2008
22189,2009-12-19T00:00:00,1.0,-33.5304,-71.6023,19,12,2009
22411,2002-10-17T00:00:00,2.0,-19.9526,-56.3044,17,10,2002
22424,2008-11-20T00:00:00,,-31.3573,-51.0391,20,11,2008
22813,2003-11-16T00:00:00,2.0,-22.7125,-65.6976,16,11,2003
22888,2004-10-01T00:00:00,2.0,-12.6634,-69.8749,1,10,2004
23200,2004-01-17T00:00:00,,-34.3364,-53.794,17,1,2004
23429,2009-11-11T00:00:00,,-18.4165,-70.3224,11,11,2009
23585,2007-01-06T00:00:00,,-33.2978,-58.7111,6,1,2007
23592,2004-02-21T00:00:00,4.0,-30.7693,-61.9713,21,2,2004
24042,2007-12-09T00:00:00,1.0,-18.4165,-70.3224,9,12,2007
24453,2009-01-01T00:00:00,1.0,-22.6888,14.5247,1,1,2009
24937,2005-07-10T00:00:00,,-34.6082,-58.354,10,7,2005
25257,2005-05-27T00:00:00,1.0,-34.6082,-58.354,27,5,2005
25748,2009-03-21T00:00:00,1.0,-34.0411,151.19899999999998,21,3,2009
25816,2003-11-08T00:00:00,,-34.7646,-55.6682,8,11,2003
25971,2008-01-10T00:00:00,,-34.652,-54.1622,10,1,2008
26058,2008-02-05T00:00:00,28.0,-34.6623,-54.1484,5,2,2008
26659,2004-09-14T00:00:00,82.0,-25.2667,-57.6167,14,9,2004
26968,2004-10-08T00:00:00,,-23.85,-59.83,8,10,2004
27287,2008-02-04T00:00:00,6.0,-33.7592,-71.7344,4,2,2008
27358,2008-11-03T00:00:00,1.0,-8.49421,-60.9622,3,11,2008
27438,2007-04-23T00:00:00,,-22.7333,-57.55,23,4,2007
27884,2005-11-30T00:00:00,,-34.6082,-58.354,30,11,2005
28167,2004-09-06T00:00:00,40.0,-25.2667,-57.6167,6,9,2004
28190,2008-03-15T00:00:00,2.0,-2.22308,-80.9589,15,3,2008
28219,2009-12-26T00:00:00,15.0,-30.7415,-60.143,26,12,2009
28365,2001-10-21T00:00:00,50.0,-34.7658,-56.416000000000004,21,10,2001
28825,2004-11-01T00:00:00,,-31.6743,-56.7415,1,11,2004
28852,2004-08-27T00:00:00,3.0,-25.2667,-57.6167,27,8,2004
28971,2009-02-10T00:00:00,,-35.4576,-58.8151,10,2,2009
29713,2000-09-16T00:00:00,5.0,-25.2667,-57.6167,16,9,2000
29731,2004-09-25T00:00:00,60.0,-25.2667,-57.6167,25,9,2004
29744,2003-01-14T00:00:00,,-34.3364,-53.794,14,1,2003
29917,2008-10-12T00:00:00,,-38.7092,-59.1642,12,10,2008
30078,2002-11-28T00:00:00,,-36.2941,-56.7756,28,11,2002
30381,2005-09-01T00:00:00,,-23.85,-59.83,1,9,2005
30429,2007-12-01T00:00:00,2.0,-5.096419999999999,-67.054,1,12,2007
30748,2002-03-21T00:00:00,,-0.613108,-78.4744,21,3,2002
31257,2008-11-06T00:00:00,1.0,-8.49421,-60.9622,6,11,2008
31329,2007-02-14T00:00:00,,-2.4888,-44.0383,14,2,2007
32044,2004-09-19T00:00:00,15.0,-31.3188,-51.0895,19,9,2004
32151,2009-11-28T00:00:00,,-33.4985,-58.7884,28,11,2009
32318,2002-12-11T00:00:00,2.0,-32.9687,-60.7883,11,12,2002
32406,2005-12-03T00:00:00,,-36.4167,-56.9167,3,12,2005
32502,2007-09-20T00:00:00,,-34.2826,-53.9028,20,9,2007
32683,2005-02-18T00:00:00,,-53.756,-67.72399999999999,18,2,2005
32970,2000-10-25T00:00:00,,-27.319000000000003,-58.9504,25,10,2000
33541,2001-01-16T00:00:00,2.0,-17.1438,-71.8739,16,1,2001
33743,2007-03-11T00:00:00,10.0,-34.6797,-54.2732,11,3,2007
33854,2007-02-19T00:00:00,,-34.6623,-54.1484,19,2,2007
33927,2000-10-24T00:00:00,33.0,-25.2667,-57.6167,24,10,2000
33992,2007-10-27T00:00:00,50.0,-36.2941,-56.7756,27,10,2007
35141,2006-03-02T00:00:00,1.0,-11.0167,-76.0913,2,3,2006
35371,2004-09-17T00:00:00,69.0,-25.2667,-57.6167,17,9,2004
35509,2007-02-02T00:00:00,173.0,-33.7,-61.4667,2,2,2007
35571,2000-09-26T00:00:00,15.0,-25.2667,-57.6167,26,9,2000
35934,2000-10-20T00:00:00,4.0,-25.2667,-57.6167,20,10,2000
36312,2006-03-19T00:00:00,12.0,-30.118000000000002,-71.3705,19,3,2006
36777,2003-10-05T00:00:00,1.0,-13.7395,-76.2265,5,10,2003
36801,2007-10-26T00:00:00,1.0,-24.3698,-60.3137,26,10,2007
36943,2002-09-13T00:00:00,64.0,-25.2667,-57.6167,13,9,2002
37587,2009-12-14T00:00:00,50.0,-34.3389,-53.8375,14,12,2009
37672,2003-02-14T00:00:00,,-18.4724,-70.3239,14,2,2003
37803,2004-12-04T00:00:00,,-36.2941,-56.7756,4,12,2004
38133,2000-11-18T00:00:00,,-22.5694,-59.3397,18,11,2000
38148,2000-11-05T00:00:00,,-36.2941,-56.7756,5,11,2000
38868,2000-12-01T00:00:00,14.0,-25.2667,-57.6167,1,12,2000
38874,2007-01-10T00:00:00,,-34.7881,-55.3857,10,1,2007
38924,2006-11-23T00:00:00,1.0,-51.6799,-57.7839,23,11,2006
38931,2003-11-09T00:00:00,2.0,-22.7195,-65.6952,9,11,2003
38971,2009-03-01T00:00:00,189.0,-22.4075,-66.0055,1,3,2009
39148,2009-01-17T00:00:00,,-36.2941,-56.7756,17,1,2009
39318,2009-01-27T00:00:00,1.0,-22.6888,14.5247,27,1,2009
39348,2006-09-08T00:00:00,7.0,-25.2667,-57.6167,8,9,2006
39463,2009-02-18T00:00:00,28.0,-33.8145,-53.4457,18,2,2009
39662,2003-09-06T00:00:00,2.0,-12.9086,-71.4033,6,9,2003
39793,2006-07-01T00:00:00,12.0,-19.0681,-66.8839,1,7,2006
40306,2007-09-21T00:00:00,1.0,-12.5749,-71.2,21,9,2007
40396,2005-07-12T00:00:00,3.0,-17.3,-65.9,12,7,2005
40616,2009-01-10T00:00:00,6.0,-28.2283,-59.1143,10,1,2009
40811,2009-12-12T00:00:00,3.0,-33.8485,-53.4778,12,12,2009
40858,2005-11-11T00:00:00,,-36.2941,-56.7756,11,11,2005
40861,2002-12-11T00:00:00,2.0,-32.9687,-60.7883,11,12,2002
40991,2009-11-22T00:00:00,1.0,-0.467084,-78.3158,22,11,2009
41057,2008-10-13T00:00:00,,-22.5183,-59.732,13,10,2008
41272,2008-10-14T00:00:00,1.0,-32.4133,-71.4108,14,10,2008
41331,2006-03-19T00:00:00,12.0,-30.118000000000002,-71.3705,19,3,2006
41603,2006-11-17T00:00:00,,-34.652,-54.1622,17,11,2006
41642,2006-11-13T00:00:00,15.0,-36.3848,-56.7066,13,11,2006
41800,2001-06-20T00:00:00,2.0,-33.3647,-71.6727,20,6,2001
42559,2004-11-12T00:00:00,2.0,-13.618,-71.7304,12,11,2004
42602,2000-09-29T00:00:00,,-22.545,-59.3111,29,9,2000
42739,2009-12-30T00:00:00,4.0,-31.2718,-60.2644,30,12,2009
42933,2009-09-10T00:00:00,2.0,-25.2777,-57.6312,10,9,2009
43739,2007-09-10T00:00:00,1.0,-27.3133,-57.8937,10,9,2007
43794,2009-03-18T00:00:00,,-34.0411,151.19899999999998,18,3,2009
44206,2005-02-18T00:00:00,,-53.756,-67.72399999999999,18,2,2005
44254,2008-01-18T00:00:00,141.0,-34.3364,-53.794,18,1,2008
44482,2009-09-26T00:00:00,,-36.2941,-56.7756,26,9,2009
44588,2009-10-16T00:00:00,,-25.2667,-57.6167,16,10,2009
44613,2003-09-03T00:00:00,5.0,-25.2667,-57.6167,3,9,2003
44663,2007-08-13T00:00:00,2.0,-20.0863,-56.6147,13,8,2007
44730,2005-01-02T00:00:00,1.0,-34.6082,-58.354,2,1,2005
44885,2006-11-18T00:00:00,1.0,-18.4165,-70.3224,18,11,2006
44939,2003-11-06T00:00:00,1.0,-13.0105,-71.4386,6,11,2003
45095,2007-04-24T00:00:00,,-22.4167,-57.1667,24,4,2007
45166,2006-01-01T00:00:00,2.0,-33.7592,-71.7344,1,1,2006
45175,2009-10-28T00:00:00,2.0,-23.4555,-45.0603,28,10,2009
45181,2007-02-25T00:00:00,,-38.3383,-62.6404,25,2,2007
45973,2001-11-06T00:00:00,,-23.1972,-59.1833,6,11,2001
46236,2001-01-10T00:00:00,4.0,-32.3115,-63.2327,10,1,2001
46375,2000-03-14T00:00:00,,-36.4003,-56.9114,14,3,2000
46388,2004-02-15T00:00:00,,-25.2991,-57.6379,15,2,2004
46803,2008-02-12T00:00:00,1.0,-32.8854,-71.5031,12,2,2008
46857,2000-12-28T00:00:00,,-36.2941,-56.7756,28,12,2000
46869,2009-12-30T00:00:00,4.0,-31.2718,-60.2644,30,12,2009
47137,2000-09-30T00:00:00,,-22.6,-57.43,30,9,2000
47509,2005-03-28T00:00:00,1.0,-1.79425,-80.7608,28,3,2005
47833,2004-07-19T00:00:00,1.0,-2.10085,-80.7435,19,7,2004
47916,2009-02-13T00:00:00,18.0,-22.4075,-66.0055,13,2,2009
47962,2000-10-17T00:00:00,10.0,-25.2667,-57.6167,17,10,2000
48549,2005-03-07T00:00:00,4.0,-36.2941,-56.7756,7,3,2005
48559,2008-02-08T00:00:00,103.0,-33.7,-61.4667,8,2,2008
48597,2008-11-07T00:00:00,20.0,-33.6,-55.7384,7,11,2008
48611,2009-03-26T00:00:00,,-34.0411,151.19899999999998,26,3,2009
48834,2003-09-06T00:00:00,2.0,-12.9086,-71.4033,6,9,2003
48870,2000-10-01T00:00:00,,-22.5403,-59.6764,1,10,2000
48934,2007-02-07T00:00:00,4.0,-22.4075,-66.0055,7,2,2007
49029,2003-11-08T00:00:00,,-34.7646,-55.6682,8,11,2003
49669,2000-10-28T00:00:00,38.0,-25.2667,-57.6167,28,10,2000
49726,2008-01-24T00:00:00,,-33.4985,-58.7884,24,1,2008
50108,2007-10-26T00:00:00,1.0,-22.6664,14.5304,26,10,2007
50435,2009-01-10T00:00:00,6.0,-28.2283,-59.1143,10,1,2009
50600,2009-01-02T00:00:00,,-34.2826,-53.9028,2,1,2009
50809,2001-02-27T00:00:00,,-13.8416,-76.256,27,2,2001
50871,2000-03-12T00:00:00,,-36.3411,-56.7471,12,3,2000
51149,2005-11-10T00:00:00,,-34.6797,-54.2732,10,11,2005
51238,2005-01-20T00:00:00,1.0,-25.2667,-57.6167,20,1,2005
51255,2003-11-14T00:00:00,,-34.6797,-54.2732,14,11,2003
51918,2001-01-23T00:00:00,,-36.3848,-56.7066,23,1,2001
51986,2006-01-12T00:00:00,,-34.6797,-54.2732,12,1,2006
52101,2008-10-14T00:00:00,1.0,-32.4101,-71.4108,14,10,2008
52909,2009-09-16T00:00:00,,-22.5,-60.0,16,9,2009
53303,2007-02-11T00:00:00,1.0,-2.24606,-80.9417,11,2,2007
53418,2003-08-28T00:00:00,4.0,-25.2667,-57.6167,28,8,2003
53488,2004-09-16T00:00:00,40.0,-25.2667,-57.6167,16,9,2004
53656,2009-03-22T00:00:00,,-34.0411,151.19899999999998,22,3,2009
53790,2009-02-04T00:00:00,,-36.2941,-56.7756,4,2,2009
53879,2005-06-12T00:00:00,1.0,-34.6082,-58.354,12,6,2005
53922,2007-01-26T00:00:00,,-34.3532,-53.8638,26,1,2007
54030,2004-09-09T00:00:00,114.0,-25.2667,-57.6167,9,9,2004
54046,2004-09-23T00:00:00,35.0,-25.2667,-57.6167,23,9,2004
54165,2004-12-04T00:00:00,,-36.2941,-56.7756,4,12,2004
54192,2001-10-05T00:00:00,,-26.43,-55.8,5,10,2001
54235,2000-01-03T00:00:00,,-34.6183,-54.2921,3,1,2000
54774,2009-04-12T00:00:00,,-37.7444,-57.427,12,4,2009
55517,2005-07-09T00:00:00,,-34.6082,-58.354,9,7,2005
55657,2004-03-29T00:00:00,2.0,-11.0167,-76.0913,29,3,2004
55907,2004-02-01T00:00:00,57.0,-18.0936,-67.1045,1,2,2004
55964,2009-03-03T00:00:00,3.0,-18.4165,-70.3224,3,3,2009
56121,2003-09-27T00:00:00,6.0,-23.2139,-44.7105,27,9,2003
56155,2004-11-19T00:00:00,12.0,-36.4792,-56.983999999999995,19,11,2004
56348,2009-10-10T00:00:00,1.0,-34.652,-54.1622,10,10,2009
56689,2007-11-02T00:00:00,23.0,-34.6797,-54.2732,2,11,2007
56752,2005-01-14T00:00:00,1.0,-25.2667,-57.6167,14,1,2005
56761,2001-12-01T00:00:00,,-36.2941,-56.7756,1,12,2001
57001,2004-10-05T00:00:00,28.0,-25.2667,-57.6167,5,10,2004
57213,2004-01-06T00:00:00,1.0,-18.4165,-70.3224,6,1,2004
57692,2008-09-29T00:00:00,40.0,-34.3157,-53.9274,29,9,2008
57749,2009-10-28T00:00:00,1.0,-42.1508,-63.7209,28,10,2009
58070,2002-10-17T00:00:00,,-16.3786,-56.6208,17,10,2002
58088,2005-06-30T00:00:00,,-34.6082,-58.354,30,6,2005
58387,2004-01-07T00:00:00,,-18.4165,-70.3224,7,1,2004
58455,2009-12-15T00:00:00,40.0,-34.6183,-54.2921,15,12,2009
59072,2006-11-13T00:00:00,10.0,-36.2941,-56.7756,13,11,2006
59404,2008-08-08T00:00:00,1.0,-12.0738,-77.1657,8,8,2008
59471,2005-03-22T00:00:00,100.0,-11.0167,-76.0913,22,3,2005
59622,2004-10-14T00:00:00,1.0,-11.3959,-69.535,14,10,2004
60097,2008-03-30T00:00:00,1.0,-15.4108,-71.5305,30,3,2008
60121,2004-08-28T00:00:00,3.0,-25.2667,-57.6167,28,8,2004
60136,2007-10-24T00:00:00,2.0,-38.4071,-62.8123,24,10,2007
60266,2007-02-18T00:00:00,,-33.3819,-58.7547,18,2,2007
60654,2009-03-03T00:00:00,3.0,-18.4165,-70.3224,3,3,2009
61211,2009-03-19T00:00:00,,-34.0411,151.19899999999998,19,3,2009
61231,2005-09-12T00:00:00,10.0,-36.2941,-56.7756,12,9,2005
61447,2004-07-17T00:00:00,1.0,-5.78304,-80.8759,17,7,2004
61461,2001-10-14T00:00:00,,-20.9967,-58.725,14,10,2001
61809,2009-03-17T00:00:00,,-34.039,151.205,17,3,2009
61862,2005-02-06T00:00:00,1.0,-25.2667,-57.6167,6,2,2005
61883,2009-02-12T00:00:00,5.0,-31.4167,-62.0833,12,2,2009
62112,2009-12-14T00:00:00,3.0,-34.4061,-53.7776,14,12,2009
62227,2009-12-14T00:00:00,1.0,-33.5304,-71.6023,14,12,2009
62804,2009-03-28T00:00:00,1.0,-34.0411,151.19899999999998,28,3,2009
62829,2004-10-14T00:00:00,20.0,-25.2667,-57.6167,14,10,2004
62964,2008-10-04T00:00:00,,-37.6133,-57.3282,4,10,2008
62999,2003-10-23T00:00:00,,-18.4128,-70.3235,23,10,2003
64687,2009-11-11T00:00:00,4.0,-38.7691,-62.3433,11,11,2009
64688,2000-12-16T00:00:00,20.0,-38.7712,-62.346000000000004,16,12,2000
64955,2008-12-30T00:00:00,,-31.7358,-56.011,30,12,2008
65059,2004-09-02T00:00:00,52.0,-25.2667,-57.6167,2,9,2004
65085,2000-10-21T00:00:00,9.0,-25.2667,-57.6167,21,10,2000
65268,2009-05-10T00:00:00,1.0,-34.0222,25.6926,10,5,2009
65492,2009-10-31T00:00:00,1.0,-25.5547,-48.3027,31,10,2009
65845,2004-02-09T00:00:00,1.0,-29.9617,-71.3218,9,2,2004
66534,2007-11-12T00:00:00,16.0,-36.2941,-56.7756,12,11,2007
67308,2008-10-01T00:00:00,9.0,-32.918,-54.4522,1,10,2008
67391,2007-08-13T00:00:00,2.0,-20.0863,-56.6147,13,8,2007
67481,2004-10-12T00:00:00,,-12.355,-70.7029,12,10,2004
67702,2000-11-17T00:00:00,,-22.545,-59.3111,17,11,2000
67970,2009-10-08T00:00:00,1.0,-12.56,-69.1897,8,10,2009
